Wall time,Step,Value
1656847883.5289626,24558,1.1010249853134155
1656847891.6031806,24622,1.4426521062850952
1656847907.6169019,24720,1.2743937969207764
1656847908.6255817,24728,1.1871380805969238
1656847930.5669272,24902,1.4779096841812134
1656847934.729757,24935,1.1465165615081787
1656847944.065119,25009,1.3147482872009277
1656847952.6283622,25048,1.102793574333191
1656847963.4638824,25134,1.1267876625061035
1656847975.8152814,25232,1.0043275356292725
1656847978.5872672,25254,1.1152844429016113
1656847988.5499737,25333,1.143911600112915
1656847995.9842732,25392,1.3636565208435059
1656848014.0116708,25506,1.0848348140716553
1656848015.9041593,25521,1.383213758468628
1656848036.8406537,25687,1.0609397888183594
1656848056.3857117,25813,0.9618635177612305
1656848060.797287,25848,1.0699536800384521
1656848070.1209862,25922,1.257125735282898
1656848088.4020855,26067,1.0082452297210693
1656848091.5540168,26092,1.044437289237976
1656848099.6250808,26156,1.3130022287368774
1656848101.3932323,26170,1.1807667016983032
1656848121.9506147,26304,0.8998314142227173
1656848134.5548604,26404,0.8363316655158997
1656848142.997757,26471,1.0721750259399414
1656848187.8892763,26798,1.1020087003707886
1656848188.015565,26799,1.1448795795440674
1656848191.6715813,26828,1.0113494396209717
1656848191.9231277,26830,1.150960922241211
1656848204.4068024,26929,1.0635554790496826
1656848235.0554194,27143,0.9590708613395691
1656848235.8131351,27149,1.0565580129623413
1656848236.569477,27155,1.2007864713668823
1656848237.0734267,27159,1.0938773155212402
1656848237.1992238,27160,0.856553316116333
1656848251.7011871,27275,1.0788244009017944
1656848284.6051893,27506,0.9155250787734985
1656848296.965211,27604,1.1565277576446533
1656848298.2263477,27614,1.3775887489318848
1656848299.1075194,27621,1.2088521718978882
1656848301.377218,27639,1.0702235698699951
1656848328.6066535,27826,1.0179146528244019
1656848340.0753562,27917,1.3469676971435547
1656848344.3630881,27951,1.2089697122573853
1656848346.6326263,27969,0.8638280630111694
1656848385.9608185,28252,0.9665491580963135
1656848394.7815776,28322,1.0468670129776
1656848409.5293696,28439,1.0628819465637207
1656848411.1673687,28452,1.1963330507278442
1656848426.432075,28544,0.804236650466919
1656848430.0841582,28573,0.9517475962638855
1656848434.9969296,28612,1.2953115701675415
1656848483.9455311,28971,0.9922717809677124
1656848487.2217572,28997,1.015287160873413
1656848492.390938,29038,0.9322400093078613
1656848495.541702,29063,0.9608160257339478
1656848497.5592153,29079,1.0756762027740479
1656848513.0726306,29202,1.2874236106872559
1656848520.899934,29264,0.9188594222068787
1656848550.9491723,29472,0.9396688342094421
1656848552.96604,29488,0.8288489580154419
1656848562.3225458,29562,1.1493502855300903
1656848568.62932,29612,0.9911460280418396
1656848589.447254,29748,0.8420299291610718
1656848599.658356,29829,1.0309416055679321
1656848599.7844844,29830,1.1392098665237427
1656848621.3553028,30001,0.9002391695976257
1656848621.9874783,30006,0.9912987947463989
1656848625.2665703,30032,1.2434394359588623
1656848632.95928,30093,1.0121499300003052
1656848646.9541106,30175,0.9950305223464966
1656848655.656434,30244,1.0007950067520142
1656848660.8277955,30285,1.0537104606628418
1656848666.248456,30328,0.8265356421470642
1656848682.8948472,30460,1.2299748659133911
1656848684.282062,30471,0.8683027029037476
1656848705.847717,30613,0.9759660363197327
1656848717.7031734,30707,1.04433274269104
1656848719.4683113,30721,1.1686471700668335
1656848721.7376523,30739,1.1584924459457397
1656848771.6953514,31106,1.0524240732192993
1656848813.4174757,31407,0.9782754182815552
1656848818.081534,31444,0.9660186171531677
1656848853.646101,31697,0.9730337262153625
1656848867.765053,31809,1.1891841888427734
1656848875.96277,31874,0.8630186915397644
1656848876.8436885,31881,1.079025149345398
1656848877.8515356,31889,0.7412018179893494
1656848883.9056144,31937,0.780623197555542
1656848885.0407536,31946,1.07891047000885
1656848892.4770045,32005,1.0184870958328247
1656848894.1161404,32018,0.9034348726272583
1656848917.582987,32175,1.035661220550537
1656848921.7456028,32208,0.832416832447052
1656848950.5044966,32436,0.9477963447570801
1656848967.64387,32543,0.7920520901679993
1656848982.1490886,32658,0.9774174690246582
1656848988.3300142,32707,0.7274964451789856
1656848995.3953757,32763,0.9679749608039856
1656849015.757859,32895,0.8282443284988403
1656849016.7664742,32903,0.8697642683982849
1656849029.373122,33003,0.9008209705352783
1656849033.409051,33035,1.0029951333999634
1656849048.294128,33153,1.0980160236358643
1656849051.7008407,33180,0.9500283598899841
1656849051.9526186,33182,0.9710454344749451
1656849066.9372013,33272,0.9213907718658447
1656849075.7574506,33342,0.7117118239402771
1656849080.0463443,33376,0.9276331663131714
1656849083.5773377,33404,1.1222935914993286
1656849100.731229,33540,1.2433478832244873
1656849115.9932163,33632,0.9330831170082092
1656849128.214435,33729,1.0161402225494385
1656849129.3482878,33738,0.8964182734489441
1656849130.8597217,33750,0.8380979299545288
1656849133.2542431,33769,1.1276929378509521
1656849135.3982346,33786,0.957795262336731
1656849142.2067082,33840,1.0630731582641602
1656849143.7192605,33852,0.9415541291236877
1656849146.8755133,33877,0.9286737442016602
1656849151.5442414,33914,1.0290743112564087
1656849168.2821786,34018,0.71397864818573
1656849170.6510234,34037,0.9511043429374695
1656849183.7737162,34142,0.8501878380775452
1656849211.395684,34363,0.8906391263008118
1656849214.0205321,34384,0.9141653180122375
1656849224.5683033,34439,0.9715457558631897
1656849235.4348738,34526,0.9976925849914551
1656849235.5597656,34527,1.0236045122146606
1656849240.306168,34565,1.0384598970413208
1656849244.6828506,34600,0.61366868019104
1656849267.6764264,34784,0.9389967322349548
1656849312.8049505,35116,0.8132752180099487
1656849320.5490088,35178,0.7490742206573486
1656849333.9052446,35255,0.9596530199050903
1656849343.776737,35334,1.376170039176941
1656849346.3971741,35355,0.926322340965271
1656849347.3959975,35363,0.8180127143859863
1656849349.2691193,35378,1.0338095426559448
1656849362.2600794,35482,0.9592464566230774
1656849362.5096548,35484,0.8681994080543518
1656849373.7535274,35574,1.2578974962234497
1656849402.1713283,35772,0.7134072780609131
1656849403.0449317,35779,0.7429440021514893
1656849411.2864666,35845,0.6024584174156189
1656849411.9117558,35850,0.8029493689537048
1656849424.9019308,35954,0.7222728729248047
1656849427.0250545,35971,0.9991678595542908
1656849439.0663464,36038,0.8945015072822571
1656849465.174173,36247,0.9108228087425232
1656849467.1720014,36263,0.8948134183883667
1656849468.7967653,36276,0.7745189070701599
1656849473.2492795,36311,1.1616640090942383
1656849476.5817316,36337,0.9372172951698303
1656849509.6989524,36570,0.9210571646690369
1656849517.27675,36630,1.2590174674987793
1656849521.0658443,36660,0.9224643707275391
1656849523.4660892,36679,0.9492918848991394
1656849538.3509493,36768,0.8439447283744812
1656849544.9115493,36820,0.7346524596214294
1656849548.8214529,36851,0.9954878091812134
1656849556.015609,36908,0.8771740198135376
1656849574.44022,37054,0.7810407876968384
1656849592.7373674,37170,1.0123544931411743
1656849596.9035904,37203,0.7513723373413086
1656849628.8650913,37456,0.7113941311836243
1656849633.1583734,37490,0.9401536583900452
1656849671.5661798,37765,0.8895635604858398
1656849685.9710484,37877,0.9073174595832825
1656849730.4490392,38193,0.7814076542854309
1656849737.498359,38248,1.031018614768982
1656849739.4087977,38263,0.8131208419799805
1656849756.4684088,38366,0.8181771039962769
1656849766.0635383,38440,0.860907793045044
1656849768.18265,38456,0.7682209014892578
1656849769.5967612,38467,0.7500268816947937
1656849784.3797483,38581,0.9276151657104492
1656849792.2270334,38642,0.9460814595222473
1656849792.361838,38643,0.7680093050003052
1656849799.7860322,38701,0.8680106401443481
1656849806.1147947,38721,0.7601276636123657
1656849821.7651331,38841,0.7846047282218933
1656849839.5720222,38982,0.9511051774024963
1656849842.6085212,39006,0.8752824068069458
1656849863.587574,39142,0.6939799785614014
1656849875.6989803,39238,0.94903165102005
1656849883.1453636,39297,0.8367811441421509
1656849884.5328863,39308,0.8507930040359497
1656849924.0562387,39592,0.9248127937316895
1656849938.0700388,39703,0.8094236850738525
1656849941.6070244,39731,0.9430148005485535
1656849948.0480099,39782,0.8788363337516785
1656849960.2971883,39879,0.8818618655204773
1656849967.900099,39910,0.7618479132652283
1656849968.5304258,39915,0.6664875149726868
1656849970.6754513,39932,0.6591699123382568
1656849981.9135454,40021,0.8200681209564209
1656850020.4336152,40297,0.7832208275794983
1656850044.6759615,40489,0.6089184880256653
1656850046.191553,40501,0.849303662776947
1656850064.7519813,40648,0.8201693892478943
1656850066.0154614,40658,0.8076848387718201
1656850066.7368052,40664,1.129242181777954
1656850070.9869585,40668,0.6772342920303345
1656850074.897947,40699,0.6945115923881531
1656850075.1502392,40701,0.7714226245880127
1656850076.9164982,40715,0.8158544898033142
1656850077.675319,40721,0.8557994961738586
1656850086.8891044,40794,0.8368443846702576
1656850118.0780404,41041,0.8036714792251587
1656850132.8652465,41129,0.8541913032531738
1656850136.1491017,41155,0.7709833383560181
1656850147.5118349,41245,0.5008691549301147
1656850150.9199505,41272,0.871787965297699
1656850159.7532346,41342,0.6517390608787537
1656850168.3398972,41410,0.8491424322128296
1656850182.3706353,41492,0.6958069205284119
1656850188.431689,41540,0.9990724325180054
1656850190.4520936,41556,0.7843796014785767
1656850234.0149605,41872,0.603600800037384
1656850251.045155,42007,0.7677202224731445
1656850251.9282293,42014,0.7986921072006226
1656850267.2051547,42135,0.5760409235954285
1656850270.2341838,42159,0.9273181557655334
1656850273.2636967,42183,0.7379927039146423
1656850284.815016,42245,0.6619793176651001
1656850296.8010116,42340,0.7684761881828308
1656850310.813432,42451,0.647213339805603
1656850313.0847251,42469,0.8078723549842834
1656850343.2689714,42679,0.8090888261795044
1656850355.6373794,42777,1.0559052228927612
1656850379.3670363,42965,0.7075116634368896
1656850381.5150342,42982,1.0446728467941284
1656850390.243157,43021,0.7557560801506042
1656850422.8076499,43279,1.0134763717651367
1656850450.9784431,43475,0.6684622168540955
1656850456.473173,43519,0.9062633514404297
1656850460.8438675,43554,0.8561624884605408
1656850467.5880878,43608,0.7593656778335571
1656850471.5847738,43640,0.8549214005470276
1656850480.5701642,43712,0.7484207153320312
1656850483.9376056,43739,0.6761364936828613
1656850484.4370103,43743,0.7461618781089783
1656850489.5531144,43784,0.8752157092094421
1656850495.987869,43806,0.7197266817092896
1656850517.333681,43977,0.5891081094741821
1656850517.8326137,43981,0.8276389837265015
1656850519.454989,43994,0.8043254017829895
1656850529.4452293,44074,0.9125963449478149
1656850529.9437938,44078,0.840025007724762
1656850534.4361382,44114,1.0113204717636108
1656850548.9845278,44201,0.6755721569061279
1656850549.8570642,44208,0.9121230244636536
1656850555.3464422,44252,0.5974215269088745
1656850561.95813,44305,0.6156674027442932
1656850600.7150037,44586,0.45429274439811707
1656850608.2033813,44646,0.8531015515327454
1656850618.6845803,44730,0.8787668347358704
1656850627.794963,44803,0.7274665832519531
1656850629.5425534,44817,0.6258713603019714
1656850647.983791,44965,0.5732191205024719
1656850669.1704326,45105,0.6769915819168091
1656850694.8873475,45311,0.7588722705841064
1656850696.0107353,45320,0.6511325836181641
1656850706.2851343,45373,0.8348321318626404
1656850723.136119,45508,0.6083176732063293
1656850727.6326544,45544,0.6977565288543701
1656850741.9891193,45659,0.929611325263977
1656850768.2406628,45840,0.8888833522796631
1656850772.610553,45875,0.7440530061721802
1656850792.4735992,46034,0.726886510848999
1656850799.5901833,46091,0.7604835033416748
1656850803.837993,46125,0.8711124658584595
1656850813.1448915,46170,0.7278910875320435
1656850817.637199,46206,0.658515989780426
1656850831.7434554,46319,0.7993201017379761
