task,dimension,eps,percent,LOSS,AUC-best,Accuracy-best,Sensitivity-best,Specifity-best
acl,coronal,0.00004,0.2,0.1842,0.9279,0.875,0.8148,0.9242
acl,sagittal,0.00004,0.2,0.1762,0.9313,0.8083,0.6111,0.9697
acl,axial,0.00004,0.2,0.147,0.9562,0.8333,0.9815,0.7121
meniscus,coronal,0.00004,0.2,0.2532,0.8354,0.7833,0.7885,0.7794
abnormal,sagittal,0.00004,0.2,0.0954,0.9558,0.775,0.7368,0.92
meniscus,sagittal,0.00004,0.2,0.2765,0.7924,0.7167,0.9038,0.5735
abnormal,coronal,0.00004,0.2,0.1503,0.8813,0.7417,0.6947,0.92
meniscus,axial,0.00004,0.2,0.2496,0.8348,0.7167,0.5,0.8824
abnormal,axial,0.00004,0.2,0.1124,0.9448,0.7667,0.7053,1.0
acl,coronal,0.003,0.1,0.1895,0.9273,0.85,0.9259,0.7879
acl,sagittal,0.003,0.1,0.1778,0.9402,0.825,0.9444,0.7273
acl,axial,0.003,0.1,0.1476,0.9543,0.8583,0.7778,0.9242
meniscus,coronal,0.003,0.1,0.2581,0.8368,0.775,0.8269,0.7353
abnormal,sagittal,0.003,0.1,0.1048,0.9545,0.7833,0.7368,0.96
meniscus,sagittal,0.003,0.1,0.2973,0.7653,0.5917,0.9808,0.2941
abnormal,coronal,0.003,0.1,0.1473,0.8842,0.7333,0.6947,0.88
meniscus,axial,0.003,0.1,0.2485,0.83,0.75,0.75,0.75
abnormal,axial,0.003,0.1,0.117,0.944,0.8083,0.7684,0.96
acl,coronal,0.00003,0.1,0.1847,0.9262,0.8417,0.8519,0.8333
acl,sagittal,0.00003,0.1,0.1792,0.9363,0.85,0.7778,0.9091
acl,axial,0.00003,0.1,0.1478,0.9526,0.8583,0.7778,0.9242
meniscus,coronal,0.00003,0.1,0.2553,0.8408,0.7583,0.75,0.7647
abnormal,sagittal,0.00003,0.1,0.0979,0.9562,0.8,0.7579,0.96
meniscus,sagittal,0.00003,0.1,0.29,0.7803,0.625,0.9423,0.3824
abnormal,coronal,0.00003,0.1,0.148,0.8829,0.7333,0.6947,0.88
meniscus,axial,0.00003,0.1,0.2451,0.8374,0.7667,0.75,0.7794
abnormal,axial,0.00003,0.1,0.1178,0.9432,0.8083,0.7684,0.96
acl,coronal,0.004,0.1,0.1914,0.9279,0.825,0.9444,0.7273
acl,sagittal,0.004,0.1,0.175,0.9394,0.8417,0.7778,0.8939
acl,axial,0.004,0.1,0.1483,0.9543,0.8583,0.7778,0.9242
meniscus,coronal,0.004,0.1,0.2592,0.8374,0.775,0.8269,0.7353
abnormal,sagittal,0.004,0.1,0.1036,0.9537,0.7833,0.7368,0.96
meniscus,sagittal,0.004,0.1,0.2956,0.7585,0.6,0.9808,0.3088
abnormal,coronal,0.004,0.1,0.1469,0.8846,0.7333,0.6947,0.88
meniscus,axial,0.004,0.1,0.2483,0.8312,0.7583,0.7692,0.75
abnormal,axial,0.004,0.1,0.1178,0.9427,0.8167,0.7789,0.96
acl,coronal,0.00005,0.2,0.1859,0.9268,0.85,0.9259,0.7879
acl,sagittal,0.00005,0.2,0.1759,0.931,0.8083,0.6111,0.9697
acl,axial,0.00005,0.2,0.1469,0.9565,0.8417,0.9815,0.7273
meniscus,coronal,0.00005,0.2,0.2532,0.836,0.7417,0.5962,0.8529
abnormal,sagittal,0.00005,0.2,0.0948,0.9554,0.7667,0.7263,0.92
meniscus,sagittal,0.00005,0.2,0.2771,0.791,0.7167,0.9038,0.5735
abnormal,coronal,0.00005,0.2,0.1509,0.8817,0.7333,0.6842,0.92
meniscus,axial,0.00005,0.2,0.2497,0.836,0.725,0.5,0.8971
abnormal,axial,0.00005,0.2,0.1125,0.9448,0.7667,0.7053,1.0
acl,coronal,0.00008,0.2,0.1854,0.9265,0.85,0.9259,0.7879
acl,sagittal,0.00008,0.2,0.1759,0.9307,0.8167,0.9074,0.7424
acl,axial,0.00008,0.2,0.1469,0.9559,0.8333,0.9815,0.7121
meniscus,coronal,0.00008,0.2,0.2534,0.8329,0.7833,0.7885,0.7794
abnormal,sagittal,0.00008,0.2,0.0952,0.9549,0.775,0.7368,0.92
meniscus,sagittal,0.00008,0.2,0.2775,0.7902,0.7083,0.7692,0.6618
abnormal,coronal,0.00008,0.2,0.1513,0.8821,0.7333,0.6842,0.92
meniscus,axial,0.00008,0.2,0.2493,0.8351,0.7,0.4615,0.8824
abnormal,axial,0.00008,0.2,0.1125,0.9444,0.7833,0.7263,1.0
acl,coronal,0.00002,0.1,0.1847,0.9259,0.8417,0.8519,0.8333
acl,sagittal,0.00002,0.1,0.1793,0.9357,0.85,0.7778,0.9091
acl,axial,0.00002,0.1,0.148,0.9526,0.8583,0.7778,0.9242
meniscus,coronal,0.00002,0.1,0.255,0.8411,0.7583,0.75,0.7647
abnormal,sagittal,0.00002,0.1,0.0978,0.9562,0.8,0.7579,0.96
meniscus,sagittal,0.00002,0.1,0.2792,0.78,0.6167,0.9423,0.3676
abnormal,coronal,0.00002,0.1,0.1479,0.8829,0.7333,0.6947,0.88
meniscus,axial,0.00002,0.1,0.2456,0.8365,0.775,0.7692,0.7794
abnormal,axial,0.00002,0.1,0.1177,0.9432,0.8083,0.7684,0.96
acl,coronal,0.00003,0.2,0.1841,0.9265,0.8417,0.9259,0.7727
acl,sagittal,0.00003,0.2,0.1759,0.9307,0.8167,0.9074,0.7424
acl,axial,0.00003,0.2,0.147,0.9562,0.8417,0.9815,0.7273
meniscus,coronal,0.00003,0.2,0.2532,0.8346,0.7833,0.7885,0.7794
abnormal,sagittal,0.00003,0.2,0.0953,0.9558,0.775,0.7368,0.92
meniscus,sagittal,0.00003,0.2,0.2768,0.7876,0.6917,0.5769,0.7794
abnormal,coronal,0.00003,0.2,0.1512,0.8821,0.7333,0.6842,0.92
meniscus,axial,0.00003,0.2,0.2499,0.8346,0.7167,0.5,0.8824
abnormal,axial,0.00003,0.2,0.1122,0.9448,0.7667,0.7053,1.0
acl,coronal,0.0003,0.1,0.1852,0.9265,0.85,0.8704,0.8333
acl,sagittal,0.0003,0.1,0.1787,0.9363,0.85,0.7778,0.9091
acl,axial,0.0003,0.1,0.1482,0.9529,0.8583,0.7778,0.9242
meniscus,coronal,0.0003,0.1,0.2556,0.8416,0.7583,0.75,0.7647
abnormal,sagittal,0.0003,0.1,0.0975,0.9558,0.7917,0.7474,0.96
meniscus,sagittal,0.0003,0.1,0.2915,0.778,0.6417,0.9423,0.4118
abnormal,coronal,0.0003,0.1,0.1482,0.8838,0.7333,0.6947,0.88
meniscus,axial,0.0003,0.1,0.2463,0.8343,0.7583,0.7692,0.75
abnormal,axial,0.0003,0.1,0.1176,0.9432,0.8083,0.7684,0.96
acl,coronal,0.00007,0.2,0.1847,0.9265,0.85,0.9259,0.7879
acl,sagittal,0.00007,0.2,0.1759,0.931,0.8167,0.9074,0.7424
acl,axial,0.00007,0.2,0.147,0.9559,0.8333,0.9815,0.7121
meniscus,coronal,0.00007,0.2,0.2531,0.834,0.7333,0.5769,0.8529
abnormal,sagittal,0.00007,0.2,0.0952,0.9549,0.775,0.7368,0.92
